assembly	sequence_count	total_bp	shortest_bp	longest_bp	N50_bp	L50	N90_bp	L90
Assembly 1.0	10	1180920922	41401248	231619483	125625032	4	91966420	8
Och_HapA	10	789630056	41401248	100680956	90413844	5	54853936	9
Och_HapB	10	1131963527	72452448	139369942	113891610	5	91966420	9
