comparison	query_sequence	target_sequence	strand	alignment_count	matching_bp	alignment_block_bp	identity_pct
assembly1_vs_hapa	Chromosome_2A	Chromosome_2A	+	1	90647114	98156177	92.3499
assembly1_vs_hapa	Chromosome_1A	Chromosome_1B	+	19	87818671	95532622	91.9253
assembly1_vs_hapa	Chromosome_4A	Chromosome_4A	+	1	85650893	93973235	91.1439
assembly1_vs_hapa	Chromosome_6A	Chromosome_6A	+	1	70599908	76092939	92.7812
assembly1_vs_hapa	Chromosome_7A	Chromosome_7B	+	5	66871933	73561932	90.9056
assembly1_vs_hapa	Chromosome_5A	Chromosome_5B	+	91	47021369	58713843	80.0857
assembly1_vs_hapa	Chromosome_3A	Chromosome_6B	+	99	45988915	55828300	82.3756
assembly1_vs_hapa	Chromosome_3A	Chromosome_6B	-	188	35859251	42566090	84.2437
assembly1_vs_hapa	Chromosome_10A	Chromosome_10A	+	1	38371605	41401217	92.6823
assembly1_vs_hapa	Chromosome_9A	Chromosome_9B	-	113	29075308	39553900	73.5081
assembly1_vs_hapa	Chromosome_5A	Chromosome_5B	-	160	31789426	38017312	83.6183
assembly1_vs_hapa	Chromosome_9A	Chromosome_9B	+	173	26797801	34182453	78.3964
assembly1_vs_hapa	Chromosome_8A	Chromosome_8B	-	185	21479402	31692126	67.7752
assembly1_vs_hapa	Chromosome_8A	Chromosome_8B	+	217	21442808	31198683	68.7298
assembly1_vs_hapa	Chromosome_1A	Chromosome_1B	-	43	3925674	5767318	68.0676
assembly1_vs_hapa	Chromosome_7A	Chromosome_7B	-	8	437272	1137899	38.4280
assembly1_vs_hapa	Chromosome_8A	Chromosome_1B	-	41	458774	751248	61.0682
assembly1_vs_hapa	Chromosome_3A	Chromosome_8B	-	19	419268	598008	70.1108
assembly1_vs_hapa	Chromosome_9A	Chromosome_8B	+	37	359901	542320	66.3632
assembly1_vs_hapa	Chromosome_3A	Chromosome_1B	-	22	22742	343466	6.6213
assembly1_vs_hapa	Chromosome_8A	Chromosome_1B	+	47	96407	335421	28.7421
assembly1_vs_hapa	Chromosome_5A	Chromosome_7B	+	18	149088	316649	47.0830
assembly1_vs_hapa	Chromosome_8A	Chromosome_7B	+	33	68237	274804	24.8312
assembly1_vs_hapa	Chromosome_8A	Chromosome_5B	-	25	29418	258389	11.3852
assembly1_vs_hapa	Chromosome_3A	Chromosome_5B	+	20	20892	255818	8.1667
assembly1_vs_hapa	Chromosome_9A	Chromosome_5B	+	26	108762	240565	45.2111
assembly1_vs_hapa	Chromosome_9A	Chromosome_10A	+	7	82035	232887	35.2252
assembly1_vs_hapa	Chromosome_5A	Chromosome_1B	-	20	60394	220045	27.4462
assembly1_vs_hapa	Chromosome_1A	Chromosome_7B	-	5	14355	206538	6.9503
assembly1_vs_hapa	Chromosome_8A	Chromosome_7B	-	25	70585	202131	34.9204
assembly1_vs_hapa	Chromosome_9A	Chromosome_6B	-	24	21279	163880	12.9845
assembly1_vs_hapa	Chromosome_8A	Chromosome_9B	+	28	29280	159966	18.3039
assembly1_vs_hapa	Chromosome_3A	Chromosome_7B	-	10	11033	153232	7.2002
assembly1_vs_hapa	Chromosome_9A	Chromosome_1B	+	28	6542	148548	4.4040
assembly1_vs_hapa	Chromosome_8A	Chromosome_6B	-	32	43937	144646	30.3755
assembly1_vs_hapa	Chromosome_3A	Chromosome_1B	+	19	5706	142237	4.0116
assembly1_vs_hapa	Chromosome_8A	Chromosome_6B	+	38	28295	140469	20.1432
assembly1_vs_hapa	Chromosome_8A	Chromosome_10A	+	10	17646	139414	12.6573
assembly1_vs_hapa	Chromosome_5A	Chromosome_6B	+	12	33293	130030	25.6041
assembly1_vs_hapa	Chromosome_5A	Chromosome_7B	-	22	26682	126459	21.0993
assembly1_vs_hapa	Chromosome_9A	Chromosome_6B	+	15	4136	126436	3.2712
assembly1_vs_hapa	Chromosome_9A	Chromosome_7B	-	22	10705	125133	8.5549
assembly1_vs_hapa	Chromosome_5A	Chromosome_1B	+	23	27894	124689	22.3709
assembly1_vs_hapa	Chromosome_8A	Chromosome_2A	-	21	26645	117056	22.7626
assembly1_vs_hapa	Chromosome_8A	Chromosome_5B	+	25	17519	115731	15.1377
assembly1_vs_hapa	Chromosome_9A	Chromosome_1B	-	26	9937	112852	8.8053
assembly1_vs_hapa	Chromosome_9A	Chromosome_5B	-	35	15983	110093	14.5177
assembly1_vs_hapa	Chromosome_5A	Chromosome_9B	+	10	42975	109770	39.1500
assembly1_vs_hapa	Chromosome_9A	Chromosome_4A	+	15	4007	103115	3.8860
assembly1_vs_hapa	Chromosome_8A	Chromosome_10A	-	5	5203	101380	5.1322
assembly1_vs_hapa	Chromosome_1A	Chromosome_8B	-	2	10891	99160	10.9833
assembly1_vs_hapa	Chromosome_1A	Chromosome_4A	+	7	5065	98967	5.1179
assembly1_vs_hapa	Chromosome_9A	Chromosome_7B	+	10	24710	96244	25.6743
assembly1_vs_hapa	Chromosome_3A	Chromosome_2A	-	9	8402	94178	8.9214
assembly1_vs_hapa	Chromosome_9A	Chromosome_4A	-	13	9657	87916	10.9843
assembly1_vs_hapa	Chromosome_8A	Chromosome_6A	+	17	39742	80912	49.1176
assembly1_vs_hapa	Chromosome_5A	Chromosome_8B	+	15	43247	74242	58.2514
assembly1_vs_hapa	Chromosome_5A	Chromosome_6A	+	11	5903	72061	8.1917
assembly1_vs_hapa	Chromosome_9A	Chromosome_2A	+	15	8630	71459	12.0769
assembly1_vs_hapa	Chromosome_5A	Chromosome_4A	+	7	2754	67579	4.0752
assembly1_vs_hapa	Chromosome_3A	Chromosome_4A	+	15	51373	63636	80.7295
assembly1_vs_hapa	Chromosome_3A	Chromosome_2A	+	18	12377	63260	19.5653
assembly1_vs_hapa	Chromosome_9A	Chromosome_2A	-	18	5749	60913	9.4381
assembly1_vs_hapa	Chromosome_3A	Chromosome_6A	-	14	24175	58848	41.0804
assembly1_vs_hapa	Chromosome_3A	Chromosome_7B	+	8	5582	55765	10.0099
assembly1_vs_hapa	Chromosome_5A	Chromosome_10A	-	4	13292	52050	25.5370
assembly1_vs_hapa	Chromosome_1A	Chromosome_6A	+	2	5532	51830	10.6734
assembly1_vs_hapa	Chromosome_1A	Chromosome_7B	+	1	712	50854	1.4001
assembly1_vs_hapa	Chromosome_5A	Chromosome_6A	-	12	12788	50349	25.3987
assembly1_vs_hapa	Chromosome_5A	Chromosome_2A	-	11	10265	47892	21.4336
assembly1_vs_hapa	Chromosome_3A	Chromosome_10A	+	5	6466	45212	14.3015
assembly1_vs_hapa	Chromosome_3A	Chromosome_6A	+	11	6031	44999	13.4025
assembly1_vs_hapa	Chromosome_8A	Chromosome_2A	+	23	30338	43158	70.2952
assembly1_vs_hapa	Chromosome_8A	Chromosome_4A	-	28	15752	42906	36.7128
assembly1_vs_hapa	Chromosome_5A	Chromosome_8B	-	8	1778	42745	4.1596
assembly1_vs_hapa	Chromosome_5A	Chromosome_10A	+	6	35943	42280	85.0118
assembly1_vs_hapa	Chromosome_5A	Chromosome_6B	-	14	2739	40592	6.7476
assembly1_vs_hapa	Chromosome_8A	Chromosome_9B	-	21	11192	37419	29.9099
assembly1_vs_hapa	Chromosome_3A	Chromosome_5B	-	22	24395	35147	69.4085
assembly1_vs_hapa	Chromosome_8A	Chromosome_6A	-	15	6664	33055	20.1603
assembly1_vs_hapa	Chromosome_8A	Chromosome_4A	+	15	8356	28911	28.9025
assembly1_vs_hapa	Chromosome_1A	Chromosome_6B	-	5	6529	22961	28.4352
assembly1_vs_hapa	Chromosome_3A	Chromosome_9B	-	7	1332	22094	6.0288
assembly1_vs_hapa	Chromosome_1A	Chromosome_10A	+	1	7337	21581	33.9975
assembly1_vs_hapa	Chromosome_3A	Chromosome_9B	+	16	11771	20766	56.6840
assembly1_vs_hapa	Chromosome_3A	Chromosome_4A	-	14	3902	19344	20.1716
assembly1_vs_hapa	Chromosome_5A	Chromosome_2A	+	13	7741	15333	50.4859
assembly1_vs_hapa	Chromosome_9A	Chromosome_8B	-	11	7979	14621	54.5722
assembly1_vs_hapa	Chromosome_9A	Chromosome_6A	+	6	4129	9838	41.9699
assembly1_vs_hapa	Chromosome_1A	Chromosome_4A	-	3	393	9571	4.1062
assembly1_vs_hapa	Chromosome_5A	Chromosome_9B	-	15	4388	9428	46.5422
assembly1_vs_hapa	Chromosome_1A	Chromosome_9B	+	2	8788	9307	94.4236
assembly1_vs_hapa	Chromosome_3A	Chromosome_8B	+	11	5358	8576	62.4767
assembly1_vs_hapa	Chromosome_1A	Chromosome_6B	+	5	1239	8099	15.2982
assembly1_vs_hapa	Chromosome_7A	Chromosome_10A	-	3	2365	7662	30.8666
assembly1_vs_hapa	Chromosome_9A	Chromosome_6A	-	8	1442	5471	26.3572
assembly1_vs_hapa	Chromosome_9A	Chromosome_10A	-	3	1517	4666	32.5118
assembly1_vs_hapa	Chromosome_7A	Chromosome_8B	+	2	219	4071	5.3795
assembly1_vs_hapa	Chromosome_5A	Chromosome_4A	-	7	2290	3465	66.0895
assembly1_vs_hapa	Chromosome_1A	Chromosome_5B	-	5	467	2328	20.0601
assembly1_vs_hapa	Chromosome_3A	Chromosome_10A	-	4	565	1943	29.0787
assembly1_vs_hapa	Chromosome_1A	Chromosome_2A	-	2	604	1152	52.4306
assembly1_vs_hapa	Chromosome_1A	Chromosome_10A	-	3	277	956	28.9749
assembly1_vs_hapa	Chromosome_7A	Chromosome_9B	+	1	115	496	23.1855
assembly1_vs_hapa	Chromosome_7A	Chromosome_5B	+	2	237	370	64.0541
assembly1_vs_hapa	Chromosome_7A	Chromosome_2A	+	2	117	366	31.9672
assembly1_vs_hapa	Chromosome_1A	Chromosome_9B	-	2	318	357	89.0756
assembly1_vs_hapa	Chromosome_7A	Chromosome_10A	+	2	161	336	47.9167
assembly1_vs_hapa	Chromosome_7A	Chromosome_6B	-	2	155	334	46.4072
assembly1_vs_hapa	Chromosome_1A	Chromosome_6A	-	2	155	304	50.9868
assembly1_vs_hapa	Chromosome_7A	Chromosome_4A	-	2	165	220	75.0000
assembly1_vs_hapa	Chromosome_7A	Chromosome_6B	+	1	89	165	53.9394
assembly1_vs_hapa	Chromosome_7A	Chromosome_9B	-	1	52	100	52.0000
assembly1_vs_hapa	Chromosome_1A	Chromosome_5B	+	1	46	96	47.9167
assembly1_vs_hapa	Chromosome_1A	Chromosome_2A	+	1	57	85	67.0588
assembly1_vs_hapa	Chromosome_7A	Chromosome_1B	+	1	42	42	100.0000
assembly1_vs_hapb	Chromosome_1B	Chromosome_1B	+	9	125011683	138486658	90.2698
assembly1_vs_hapb	Chromosome_5B	Chromosome_5B	-	4	103555853	113810789	90.9895
assembly1_vs_hapb	Chromosome_6B	Chromosome_6B	+	1	102619907	112503869	91.2146
assembly1_vs_hapb	Chromosome_7B	Chromosome_7B	+	2	101576605	111972959	90.7153
assembly1_vs_hapb	Chromosome_8B	Chromosome_8B	+	1	96806366	108828108	88.9535
assembly1_vs_hapb	Chromosome_9B	Chromosome_9B	+	1	83329223	91966405	90.6083
assembly1_vs_hapb	Chromosome_2B	Chromosome_2A	-	534	43109652	58881948	73.2137
assembly1_vs_hapb	Chromosome_3B	Chromosome_6A	+	1073	39955324	58415635	68.3983
assembly1_vs_hapb	Chromosome_2B	Chromosome_2A	+	539	44699045	57239037	78.0919
assembly1_vs_hapb	Chromosome_4B	Chromosome_4A	+	290	40325508	55916012	72.1180
assembly1_vs_hapb	Chromosome_3B	Chromosome_6A	-	943	31095073	50715384	61.3129
assembly1_vs_hapb	Chromosome_4B	Chromosome_4A	-	341	39239910	46886002	83.6922
assembly1_vs_hapb	Chromosome_10B	Chromosome_10A	-	506	21473594	35417470	60.6299
assembly1_vs_hapb	Chromosome_10B	Chromosome_10A	+	516	18367309	32557652	56.4147
assembly1_vs_hapb	Chromosome_3B	Chromosome_1B	+	443	446703	3838956	11.6361
assembly1_vs_hapb	Chromosome_3B	Chromosome_1B	-	403	512150	3470120	14.7589
assembly1_vs_hapb	Chromosome_2B	Chromosome_8B	-	151	1183231	3442901	34.3673
assembly1_vs_hapb	Chromosome_3B	Chromosome_7B	-	349	713429	3371511	21.1605
assembly1_vs_hapb	Chromosome_3B	Chromosome_8B	-	201	1204328	3123130	38.5616
assembly1_vs_hapb	Chromosome_2B	Chromosome_1B	-	337	626311	3020562	20.7349
assembly1_vs_hapb	Chromosome_3B	Chromosome_6B	+	340	550996	3012139	18.2925
assembly1_vs_hapb	Chromosome_4B	Chromosome_1B	+	203	489912	2859171	17.1348
assembly1_vs_hapb	Chromosome_3B	Chromosome_7B	+	278	547367	2776012	19.7177
assembly1_vs_hapb	Chromosome_3B	Chromosome_6B	-	326	431793	2718027	15.8863
assembly1_vs_hapb	Chromosome_2B	Chromosome_8B	+	133	1055208	2615856	40.3389
assembly1_vs_hapb	Chromosome_3B	Chromosome_4A	-	261	595864	2602398	22.8967
assembly1_vs_hapb	Chromosome_3B	Chromosome_8B	+	218	646571	2554339	25.3127
assembly1_vs_hapb	Chromosome_10B	Chromosome_8B	+	281	566889	2450479	23.1338
assembly1_vs_hapb	Chromosome_4B	Chromosome_1B	-	192	424779	2343418	18.1265
assembly1_vs_hapb	Chromosome_2B	Chromosome_7B	+	197	380410	2309130	16.4742
assembly1_vs_hapb	Chromosome_3B	Chromosome_9B	-	247	386575	2269611	17.0327
assembly1_vs_hapb	Chromosome_2B	Chromosome_6B	+	237	320445	2258388	14.1891
assembly1_vs_hapb	Chromosome_10B	Chromosome_8B	-	155	537191	2220969	24.1872
assembly1_vs_hapb	Chromosome_2B	Chromosome_1B	+	315	462014	2216684	20.8426
assembly1_vs_hapb	Chromosome_2B	Chromosome_7B	-	205	350762	2191654	16.0044
assembly1_vs_hapb	Chromosome_4B	Chromosome_5B	+	193	338929	2099966	16.1397
assembly1_vs_hapb	Chromosome_2B	Chromosome_4A	+	222	422000	2078372	20.3044
assembly1_vs_hapb	Chromosome_3B	Chromosome_5B	-	302	366052	2045212	17.8980
assembly1_vs_hapb	Chromosome_10B	Chromosome_1B	-	218	471790	1984894	23.7690
assembly1_vs_hapb	Chromosome_4B	Chromosome_9B	+	109	430245	1971235	21.8262
assembly1_vs_hapb	Chromosome_3B	Chromosome_5B	+	255	449540	1959791	22.9382
assembly1_vs_hapb	Chromosome_10B	Chromosome_1B	+	216	228775	1903861	12.0164
assembly1_vs_hapb	Chromosome_2B	Chromosome_4A	-	206	381332	1879721	20.2866
assembly1_vs_hapb	Chromosome_4B	Chromosome_8B	+	84	604543	1780982	33.9444
assembly1_vs_hapb	Chromosome_2B	Chromosome_9B	+	162	336943	1778801	18.9421
assembly1_vs_hapb	Chromosome_3B	Chromosome_4A	+	263	581048	1776162	32.7137
assembly1_vs_hapb	Chromosome_2B	Chromosome_6B	-	231	234901	1763413	13.3208
assembly1_vs_hapb	Chromosome_4B	Chromosome_6B	+	163	189531	1748955	10.8368
assembly1_vs_hapb	Chromosome_10B	Chromosome_7B	-	134	208526	1689647	12.3414
assembly1_vs_hapb	Chromosome_2B	Chromosome_5B	-	251	383632	1666037	23.0266
assembly1_vs_hapb	Chromosome_2B	Chromosome_5B	+	261	209275	1631897	12.8240
assembly1_vs_hapb	Chromosome_10B	Chromosome_9B	-	99	309418	1623661	19.0568
assembly1_vs_hapb	Chromosome_3B	Chromosome_2A	+	242	265544	1590576	16.6948
assembly1_vs_hapb	Chromosome_4B	Chromosome_6B	-	181	239198	1584767	15.0936
assembly1_vs_hapb	Chromosome_3B	Chromosome_9B	+	205	336230	1523655	22.0673
assembly1_vs_hapb	Chromosome_2B	Chromosome_9B	-	164	276185	1495226	18.4711
assembly1_vs_hapb	Chromosome_4B	Chromosome_7B	-	127	242037	1477582	16.3806
assembly1_vs_hapb	Chromosome_3B	Chromosome_2A	-	294	260281	1425619	18.2574
assembly1_vs_hapb	Chromosome_4B	Chromosome_9B	-	146	229559	1341369	17.1138
assembly1_vs_hapb	Chromosome_4B	Chromosome_8B	-	97	298656	1329940	22.4564
assembly1_vs_hapb	Chromosome_4B	Chromosome_7B	+	107	149036	1225270	12.1635
assembly1_vs_hapb	Chromosome_10B	Chromosome_4A	+	135	109399	1180169	9.2698
assembly1_vs_hapb	Chromosome_10B	Chromosome_5B	+	131	143666	1125539	12.7642
assembly1_vs_hapb	Chromosome_4B	Chromosome_5B	-	147	138632	1116096	12.4212
assembly1_vs_hapb	Chromosome_10B	Chromosome_6A	-	93	281889	1100364	25.6178
assembly1_vs_hapb	Chromosome_10B	Chromosome_6B	+	155	215432	978909	22.0074
assembly1_vs_hapb	Chromosome_4B	Chromosome_2A	-	133	176718	959939	18.4093
assembly1_vs_hapb	Chromosome_10B	Chromosome_9B	+	129	214403	942164	22.7564
assembly1_vs_hapb	Chromosome_2B	Chromosome_6A	+	113	164408	911190	18.0432
